958e842df39e06c4c6f8249a2dd724fc,1_57_54_54,410857
57951c070393cc0ec3746e2a4f3c9f2c,60_5_4_54_54_52_54_52_54,16134
4b86b30d65513fd64414af22db8a14bb,5_4_54_54_52_54_52_54,21065
79f263e35d68b103003c6a9888f1b259,4_54_54_52_54_52_54,31480
b8a8e427b2fa9ba93d57c67637518e4e,318_105_4_54,95948
285025bb68d6db97e65cc1d0b911538b,4_54,1612431
f4d8ddcf6749aa1eca59768ad7fe369b,60_298_4_7_54_54_52_54_104_105_4_54_105_4_54_105_4_54_105_4_54,1059
2dbdf4bd3c47dc7e4245ee82fcc44264,298_4_7_54_54_52_54_104_105_4_54_105_4_54_105_4_54_105_4_54,1246
ce2e508d5ee3443a668d71a71243c5c4,4_7_54_54_52_54_104_105_4_54_105_4_54_105_4_54_105_4_54,3199
261fa2983d2b558dfe672d664c91dbff,60_5_4_54_54_52_54_52_54_298_4_54,1456
95e27d75a2b543c490f7aa0c030875a4,298_4_54,123344
22291ea76b875e748d3a22014a03fafb,4_54_52_48,170329
09bf96d8e9780741950de027fe84a3cd,60_298_4_54,73921
cf27b6c2fb4670e92ea8b5ef5626d696,60_298_4_48_52_54_52_48_52_54_52_48,201
428208f7b623e0fdd3f0528eb7999ac3,298_4_48_52_54_52_48_52_54_52_48,219
8c6b0ca6a8dc180a9377e27b469bc8ea,4_48_52_54_52_48_52_54_52_48,887
b9603e0e6fbf72fbd63274def84bdb03,2_1_57_54_54_3_4_7_54_104,12767
39b8df49b2a0cada0c435498aa727f6c,1_57_54_54_3_4_7_54_104,12855
66a7423228bd47fc1325c29ba80a5baa,4_7_54_104,105397
8e0561602663e37def90643e7d70ad8c,5_4_7_54_54_52_54_104_52_7_54_104,7564
aaadf1e7a7f6c230e8ea823cef347f5f,4_7_54_54_52_54_104_52_7_54_104,34448
ad2b2af314601c26e066bf3616a7508b,2_1_57_54_54_3_4_52_7_54_104,22021
f3120091b4983bbeb1fc124c8b470fde,1_57_54_54_3_4_52_7_54_104,22156
b69828731f6022b5b34bfbe6e7545c25,4_52_7_54_104,46254
c44d23c10fddbe03e26593cb69fbaa98,5_4_7_54_54_52_54_104_105_4_54,151391
08f1eded3c3d273df104d03eb21571d6,4_7_54_54_52_54_104_105_4_54,263908
82ccb2e9539b94a8c92e919bd9271d18,5_4_7_54_54_52_54_104_105_4_48,52461
289109bd738500777c359b6c4a32b153,4_7_54_54_52_54_104_105_4_48,99183
66f820f4bc80e01587a7fa06ddb4d351,4_48,888538
8a0efec02c884dd8b0f79d67d6f73564,5_4_7_54_54_52_54_104,59831
825e01dab051037d15efd6fbd8a2aa8c,4_7_54_54_52_54_104,472067
6bd023e98221c9033b866fdd6e6e0729,5_4_7_54_104_105_4_48_105_4_54_54_52_54,1738
b68a03df5a66a7ab04a5e28e17825281,4_7_54_104_105_4_48_105_4_54_54_52_54,2203
8cc1a4fc776ed3721e365d7add249d3f,4_54_54_52_54,239304
62f33cf3cf0f089ed03bbd2019e79411,5_4_7_54_104_105_4_54_54_52_54,3229
